文,出現順序,全体のコメント,ラベル
国民皆保険等、様々な分野から受けている今のサービスレベル、延いては国力を今後も維持するためにはデジタル化は必須だし、今はその過渡期である事を理解すべき。,11,"色々心配事があり大変ですね。ただコメント欄に記載されている懸念事項は想定の範囲内。つまりは運用面の問題ばかり。こんな事って作る側から見れば10週回って既に承知済み。これらが発生した場合にどのように対応するかはある程度は検討されている筈。
とは言え、思ったようには進まない事も多々ある。エラーが出る事もあるが、それを確認し修復しながら精度を上げていけば問題無いしシステム設計とはそういうもの。最初から完全なものは作れない。
少子化が進み働き手が減るこの国において、デジタル化は必然。自分が面倒とか大変とか自分の事しか考えていないコメントが散見されるが、大事なのは10年先、20年先を考える事。国民皆保険等、様々な分野から受けている今のサービスレベル、延いては国力を今後も維持するためにはデジタル化は必須だし、今はその過渡期である事を理解すべき。",
先日マイナカード無くした。,1,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
"
本人確認が免許証だと。",2,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
"
一緒になったら、いちいち有料の印鑑証明取るのかな？",3,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
"
再発行に6か月。",4,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
"
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。",5,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
つまり、無くしてから再発行開始まで謎の空白ができる。,6,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
"
紛失と、再発行申請登録は同時にできない。",7,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。,8,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
"
病院も割高な診察料がかかる。",9,"先日マイナカード無くした。
本人確認が免許証だと。
一緒になったら、いちいち有料の印鑑証明取るのかな？
再発行に6か月。
紛失届は警察行ってから、自分で連絡する、

再発行データを送っても登録まで2週間。
つまり、無くしてから再発行開始まで謎の空白ができる。
紛失と、再発行申請登録は同時にできない。
その間に本人確認のいい加減な携帯買われたり、サラ金いかれたらどうしよう。
病院も割高な診察料がかかる。",
個人事業主でマイナカードは電子認証に使用して仕事をしているので、パソコンのリーダーに挿しっぱなしです。,1,個人事業主でマイナカードは電子認証に使用して仕事をしているので、パソコンのリーダーに挿しっぱなしです。私以外に従業員も当方のマイナカードを使用して仕事を使用しています。持ち歩くことは５年に１度の更新のときとたまに住民票や印鑑証明等が必要なときのみです。マイナカードが保険証と一体化されたら平日病院に行けなくなります。だって従業員が仕事で当方のマイナカードを使用していますから。,
私以外に従業員も当方のマイナカードを使用して仕事を使用しています。,2,個人事業主でマイナカードは電子認証に使用して仕事をしているので、パソコンのリーダーに挿しっぱなしです。私以外に従業員も当方のマイナカードを使用して仕事を使用しています。持ち歩くことは５年に１度の更新のときとたまに住民票や印鑑証明等が必要なときのみです。マイナカードが保険証と一体化されたら平日病院に行けなくなります。だって従業員が仕事で当方のマイナカードを使用していますから。,
持ち歩くことは５年に１度の更新のときとたまに住民票や印鑑証明等が必要なときのみです。,3,個人事業主でマイナカードは電子認証に使用して仕事をしているので、パソコンのリーダーに挿しっぱなしです。私以外に従業員も当方のマイナカードを使用して仕事を使用しています。持ち歩くことは５年に１度の更新のときとたまに住民票や印鑑証明等が必要なときのみです。マイナカードが保険証と一体化されたら平日病院に行けなくなります。だって従業員が仕事で当方のマイナカードを使用していますから。,
マイナカードが保険証と一体化されたら平日病院に行けなくなります。,4,個人事業主でマイナカードは電子認証に使用して仕事をしているので、パソコンのリーダーに挿しっぱなしです。私以外に従業員も当方のマイナカードを使用して仕事を使用しています。持ち歩くことは５年に１度の更新のときとたまに住民票や印鑑証明等が必要なときのみです。マイナカードが保険証と一体化されたら平日病院に行けなくなります。だって従業員が仕事で当方のマイナカードを使用していますから。,
だって従業員が仕事で当方のマイナカードを使用していますから。,5,個人事業主でマイナカードは電子認証に使用して仕事をしているので、パソコンのリーダーに挿しっぱなしです。私以外に従業員も当方のマイナカードを使用して仕事を使用しています。持ち歩くことは５年に１度の更新のときとたまに住民票や印鑑証明等が必要なときのみです。マイナカードが保険証と一体化されたら平日病院に行けなくなります。だって従業員が仕事で当方のマイナカードを使用していますから。,
昔は、就職に運転免許は不可欠だったけど、通信インフラが発達した現在では、運転免許証の持つ意味が、若者のステータス・シンボルに変わりつつある。,1,昔は、就職に運転免許は不可欠だったけど、通信インフラが発達した現在では、運転免許証の持つ意味が、若者のステータス・シンボルに変わりつつある。　マイナカードと一体化されては、若者の車離れに拍車がかかるんじゃないの。,
　マイナカードと一体化されては、若者の車離れに拍車がかかるんじゃないの。,2,昔は、就職に運転免許は不可欠だったけど、通信インフラが発達した現在では、運転免許証の持つ意味が、若者のステータス・シンボルに変わりつつある。　マイナカードと一体化されては、若者の車離れに拍車がかかるんじゃないの。,
"身分証明書をマイナンバーカードだけにするなら
マイナンバーカードさえ盗むか、偽造するかもしくはサーバーにはいって　変更してしまえば
悪用し放題になるが、いいのか？",1,"身分証明書をマイナンバーカードだけにするなら
マイナンバーカードさえ盗むか、偽造するかもしくはサーバーにはいって　変更してしまえば
悪用し放題になるが、いいのか？
役所で紛失したといえば　他人が再発行できるのではないか？
紛失時の再発行には、どうやって身分証明書なしで再発行するのでしょうか？",
"
役所で紛失したといえば　",2,"身分証明書をマイナンバーカードだけにするなら
マイナンバーカードさえ盗むか、偽造するかもしくはサーバーにはいって　変更してしまえば
悪用し放題になるが、いいのか？
役所で紛失したといえば　他人が再発行できるのではないか？
紛失時の再発行には、どうやって身分証明書なしで再発行するのでしょうか？",
他人が再発行できるのではないか？,3,"身分証明書をマイナンバーカードだけにするなら
マイナンバーカードさえ盗むか、偽造するかもしくはサーバーにはいって　変更してしまえば
悪用し放題になるが、いいのか？
役所で紛失したといえば　他人が再発行できるのではないか？
紛失時の再発行には、どうやって身分証明書なしで再発行するのでしょうか？",
"
紛失時の再発行には、どうやって身分証明書なしで再発行するのでしょうか？",4,"身分証明書をマイナンバーカードだけにするなら
マイナンバーカードさえ盗むか、偽造するかもしくはサーバーにはいって　変更してしまえば
悪用し放題になるが、いいのか？
役所で紛失したといえば　他人が再発行できるのではないか？
紛失時の再発行には、どうやって身分証明書なしで再発行するのでしょうか？",
"記者が無知ｗ
",1,"記者が無知ｗ
すでにマイナカードのスマホ用電子証明書搭載サービスが開始されてます
マイナカードを持ち歩くことなく、スマホで同等の機能が利用できます

将来的に車のキーとして機能したら、
誰が運転していたか本人確認ができたり、
盗難や無免許運転の防止等々、色々便利になると思います",
すでにマイナカードのスマホ用電子証明書搭載サービスが開始されてます,2,"記者が無知ｗ
すでにマイナカードのスマホ用電子証明書搭載サービスが開始されてます
マイナカードを持ち歩くことなく、スマホで同等の機能が利用できます

将来的に車のキーとして機能したら、
誰が運転していたか本人確認ができたり、
盗難や無免許運転の防止等々、色々便利になると思います",
"
マイナカードを持ち歩くことなく、スマホで同等の機能が利用できます",3,"記者が無知ｗ
すでにマイナカードのスマホ用電子証明書搭載サービスが開始されてます
マイナカードを持ち歩くことなく、スマホで同等の機能が利用できます

将来的に車のキーとして機能したら、
誰が運転していたか本人確認ができたり、
盗難や無免許運転の防止等々、色々便利になると思います",
"

将来的に車のキーとして機能したら、
誰が運転していたか本人確認ができたり、
盗難や無免許運転の防止等々、色々便利になると思います",4,"記者が無知ｗ
すでにマイナカードのスマホ用電子証明書搭載サービスが開始されてます
マイナカードを持ち歩くことなく、スマホで同等の機能が利用できます

将来的に車のキーとして機能したら、
誰が運転していたか本人確認ができたり、
盗難や無免許運転の防止等々、色々便利になると思います",
これ、カードにしちゃうからいろいろ問題があるんですよ。,1,"これ、カードにしちゃうからいろいろ問題があるんですよ。
思い切って、指紋＋顔認証システムからのマイナンバー紐付けにしてしまえば、カード持たなくても問題がないはずです。無論認証システムは行政側しか使えないようにすることは重要ですが。

また、お店などの入会については、スマホ、クレジットカードなどで認証し、顔も登録てしまえば、特にあとあと、店側に不利益になるような問題は起きないと思うんですけどね。",
"
思い切って、指紋＋顔認証システムからのマイナンバー紐付けにしてしまえば、カード持たなくても問題がないはずです。",2,"これ、カードにしちゃうからいろいろ問題があるんですよ。
思い切って、指紋＋顔認証システムからのマイナンバー紐付けにしてしまえば、カード持たなくても問題がないはずです。無論認証システムは行政側しか使えないようにすることは重要ですが。

また、お店などの入会については、スマホ、クレジットカードなどで認証し、顔も登録てしまえば、特にあとあと、店側に不利益になるような問題は起きないと思うんですけどね。",
無論認証システムは行政側しか使えないようにすることは重要ですが。,3,"これ、カードにしちゃうからいろいろ問題があるんですよ。
思い切って、指紋＋顔認証システムからのマイナンバー紐付けにしてしまえば、カード持たなくても問題がないはずです。無論認証システムは行政側しか使えないようにすることは重要ですが。

また、お店などの入会については、スマホ、クレジットカードなどで認証し、顔も登録てしまえば、特にあとあと、店側に不利益になるような問題は起きないと思うんですけどね。",
"

また、お店などの入会については、スマホ、クレジットカードなどで認証し、顔も登録てしまえば、特にあとあと、店側に不利益になるような問題は起きないと思うんですけどね。",4,"これ、カードにしちゃうからいろいろ問題があるんですよ。
思い切って、指紋＋顔認証システムからのマイナンバー紐付けにしてしまえば、カード持たなくても問題がないはずです。無論認証システムは行政側しか使えないようにすることは重要ですが。

また、お店などの入会については、スマホ、クレジットカードなどで認証し、顔も登録てしまえば、特にあとあと、店側に不利益になるような問題は起きないと思うんですけどね。",
マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。,1,"マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。国民はそれを素直に受け入れる体質のようで、不思議でなりません。

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",
"
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。",2,"マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。国民はそれを素直に受け入れる体質のようで、不思議でなりません。

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",
"

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。",3,"マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。国民はそれを素直に受け入れる体質のようで、不思議でなりません。

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",
保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。,4,"マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。国民はそれを素直に受け入れる体質のようで、不思議でなりません。

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",
マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。,5,"マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。国民はそれを素直に受け入れる体質のようで、不思議でなりません。

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",
国民はそれを素直に受け入れる体質のようで、不思議でなりません。,6,"マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。国民はそれを素直に受け入れる体質のようで、不思議でなりません。

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",
"

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",7,"マイナンバーカード作成の規約には、取得した情報に対し、政府はいっさいの責任はないというような無責任な姿勢です。
故意でない情報漏洩や改ざん、目的外の利用も、故意でなければ仕方ないというのです。

マイナンバーカードは任意とすることで始まった政策がいつの間にか強制のステータスに入ってきました。保険も運転免許も口座も、全て紐付けて、情報漏洩しても、誰も助けてはくれません。マスクの時もそうですが、日本政府は少しずつ協力から強制に切り替えていきます。国民はそれを素直に受け入れる体質のようで、不思議でなりません。

本人確認する方法を明確に定めていただければ、必要あれば準備しますが、金融機関も図書館もリサイクルショップも、大変でしょうね。。",
これは、危険な発想である。,1,"これは、危険な発想である。
1枚のカードに重要情報を集約したり本人確認機能をそこだけに集約した場合、紛失リスクが途轍もなく大きい。
そして、システム上の欠陥があるため、情報漏洩や誤登録、本人の誤認など大きな問題を抱える。
認証機能も他人を認証したり不完全なシステムであることが発覚した。
このまま進めれば大混乱は必至である。",
"
1枚のカードに重要情報を集約したり本人確認機能をそこだけに集約した場合、紛失リスクが途轍もなく大きい。",2,"これは、危険な発想である。
1枚のカードに重要情報を集約したり本人確認機能をそこだけに集約した場合、紛失リスクが途轍もなく大きい。
そして、システム上の欠陥があるため、情報漏洩や誤登録、本人の誤認など大きな問題を抱える。
認証機能も他人を認証したり不完全なシステムであることが発覚した。
このまま進めれば大混乱は必至である。",
そして、システム上の欠陥があるため、情報漏洩や誤登録、本人の誤認など大きな問題を抱える。,3,"これは、危険な発想である。
1枚のカードに重要情報を集約したり本人確認機能をそこだけに集約した場合、紛失リスクが途轍もなく大きい。
そして、システム上の欠陥があるため、情報漏洩や誤登録、本人の誤認など大きな問題を抱える。
認証機能も他人を認証したり不完全なシステムであることが発覚した。
このまま進めれば大混乱は必至である。",
"
認証機能も他人を認証したり不完全なシステムであることが発覚した。",4,"これは、危険な発想である。
1枚のカードに重要情報を集約したり本人確認機能をそこだけに集約した場合、紛失リスクが途轍もなく大きい。
そして、システム上の欠陥があるため、情報漏洩や誤登録、本人の誤認など大きな問題を抱える。
認証機能も他人を認証したり不完全なシステムであることが発覚した。
このまま進めれば大混乱は必至である。",
"
このまま進めれば大混乱は必至である。",5,"これは、危険な発想である。
1枚のカードに重要情報を集約したり本人確認機能をそこだけに集約した場合、紛失リスクが途轍もなく大きい。
そして、システム上の欠陥があるため、情報漏洩や誤登録、本人の誤認など大きな問題を抱える。
認証機能も他人を認証したり不完全なシステムであることが発覚した。
このまま進めれば大混乱は必至である。",
> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。,1,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
"
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。",2,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。,3,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。,4,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
"

>",5,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」,6,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
"

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。",7,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。,8,"> 運転免許証などを送信する方法や、顔写真のない本人確認書類などは廃止すると明記しています。
> 　また対面の場合であっても公的個人認証による本人確認を進めるなどし、本人確認書類のコピーは取らないこととする

運転免許証やマイナンバーカードの券面ですら、偽造される可能性が否定できない世の中です。ましてや本人確認書類のコピーなんて偽造し放題で、むしろそれで本人確認ができてしまうと、コピー提出先の人はなりすましできてしまうことになります。公的個人認証の秘密鍵は偽造できないので、そうなっていくのはある意味当然です。

> 「運転免許証すら使えないとマイナンバーカードを万が一紛失したらどうなるの!?」

マイナンバーカードがない時代に運転免許証と健康保険証を入れたお財布を紛失するのとほぼ同じです。紛失したら困るのはいつの時代も同じで、むしろ紛失手続きが1回で済むメリットの方が生きると思います。",
子どもが生まれたばかりの頃、お年玉などを貯めておくように銀行口座を作った時は、保険証だけでＯＫでした。,1,"子どもが生まれたばかりの頃、お年玉などを貯めておくように銀行口座を作った時は、保険証だけでＯＫでした。子どもが大きくなって、アルバイト代の受取口座を作った時は、「マイナカードでなければ複数の身分証が必要です」とリストを渡されました。そのリストの中に母子手帳があって、絶句したものです。保険証に母子手帳を加えて本人確認することに、なんの意味があるんでしょう？
政府はマイナカードの利便性を喧伝していますが、何のことはない、マイナカードがないと不便なように諸制度を歪めているだけです。国が発行する運転免許証が本人確認に使えなくなるって、終わってる感すごすぎですね。
ましてや、モバイル免許証とは…。
鉄道やタクシーでの忘れ物ナンバーワンはスマホだということを、お偉方は知らないのでしょうか？",
子どもが大きくなって、アルバイト代の受取口座を作った時は、「マイナカードでなければ複数の身分証が必要です」とリストを渡されました。,2,"子どもが生まれたばかりの頃、お年玉などを貯めておくように銀行口座を作った時は、保険証だけでＯＫでした。子どもが大きくなって、アルバイト代の受取口座を作った時は、「マイナカードでなければ複数の身分証が必要です」とリストを渡されました。そのリストの中に母子手帳があって、絶句したものです。保険証に母子手帳を加えて本人確認することに、なんの意味があるんでしょう？
政府はマイナカードの利便性を喧伝していますが、何のことはない、マイナカードがないと不便なように諸制度を歪めているだけです。国が発行する運転免許証が本人確認に使えなくなるって、終わってる感すごすぎですね。
ましてや、モバイル免許証とは…。
鉄道やタクシーでの忘れ物ナンバーワンはスマホだということを、お偉方は知らないのでしょうか？",
そのリストの中に母子手帳があって、絶句したものです。,3,"子どもが生まれたばかりの頃、お年玉などを貯めておくように銀行口座を作った時は、保険証だけでＯＫでした。子どもが大きくなって、アルバイト代の受取口座を作った時は、「マイナカードでなければ複数の身分証が必要です」とリストを渡されました。そのリストの中に母子手帳があって、絶句したものです。保険証に母子手帳を加えて本人確認することに、なんの意味があるんでしょう？
政府はマイナカードの利便性を喧伝していますが、何のことはない、マイナカードがないと不便なように諸制度を歪めているだけです。国が発行する運転免許証が本人確認に使えなくなるって、終わってる感すごすぎですね。
ましてや、モバイル免許証とは…。
鉄道やタクシーでの忘れ物ナンバーワンはスマホだということを、お偉方は知らないのでしょうか？",
