文,出現順序,全体のコメント,ラベル
手術成功されて何よりです。,1,"手術成功されて何よりです。本当に良かったです！
今シーズンも大谷選手の活躍に世界中のファンが感動をいただいたと思います。
これからのリハビリは大変だと思いますが、みんなが来シーズンも大谷選手の大活躍を待っています。
日本に帰国した際は、母校の花巻にぜひ帰ってきていただき温泉で疲れを癒して療養していただきたいです。
来シーズンもより強くなった大谷選手の飛躍が見られるように心から祈っております。",
本当に良かったです！,2,"手術成功されて何よりです。本当に良かったです！
今シーズンも大谷選手の活躍に世界中のファンが感動をいただいたと思います。
これからのリハビリは大変だと思いますが、みんなが来シーズンも大谷選手の大活躍を待っています。
日本に帰国した際は、母校の花巻にぜひ帰ってきていただき温泉で疲れを癒して療養していただきたいです。
来シーズンもより強くなった大谷選手の飛躍が見られるように心から祈っております。",
今シーズンも大谷選手の活躍に世界中のファンが感動をいただいたと思います。,3,"手術成功されて何よりです。本当に良かったです！
今シーズンも大谷選手の活躍に世界中のファンが感動をいただいたと思います。
これからのリハビリは大変だと思いますが、みんなが来シーズンも大谷選手の大活躍を待っています。
日本に帰国した際は、母校の花巻にぜひ帰ってきていただき温泉で疲れを癒して療養していただきたいです。
来シーズンもより強くなった大谷選手の飛躍が見られるように心から祈っております。",
これからのリハビリは大変だと思いますが、みんなが来シーズンも大谷選手の大活躍を待っています。,4,"手術成功されて何よりです。本当に良かったです！
今シーズンも大谷選手の活躍に世界中のファンが感動をいただいたと思います。
これからのリハビリは大変だと思いますが、みんなが来シーズンも大谷選手の大活躍を待っています。
日本に帰国した際は、母校の花巻にぜひ帰ってきていただき温泉で疲れを癒して療養していただきたいです。
来シーズンもより強くなった大谷選手の飛躍が見られるように心から祈っております。",
日本に帰国した際は、母校の花巻にぜひ帰ってきていただき温泉で疲れを癒して療養していただきたいです。,5,"手術成功されて何よりです。本当に良かったです！
今シーズンも大谷選手の活躍に世界中のファンが感動をいただいたと思います。
これからのリハビリは大変だと思いますが、みんなが来シーズンも大谷選手の大活躍を待っています。
日本に帰国した際は、母校の花巻にぜひ帰ってきていただき温泉で疲れを癒して療養していただきたいです。
来シーズンもより強くなった大谷選手の飛躍が見られるように心から祈っております。",
"
来シーズンもより強くなった大谷選手の飛躍が見られるように心から祈っております。",6,"手術成功されて何よりです。本当に良かったです！
今シーズンも大谷選手の活躍に世界中のファンが感動をいただいたと思います。
これからのリハビリは大変だと思いますが、みんなが来シーズンも大谷選手の大活躍を待っています。
日本に帰国した際は、母校の花巻にぜひ帰ってきていただき温泉で疲れを癒して療養していただきたいです。
来シーズンもより強くなった大谷選手の飛躍が見られるように心から祈っております。",
ひとまず手術が成功したことに安堵しました。,1,"ひとまず手術が成功したことに安堵しました。いくら体を鍛えたり、ケア等をしていても膝や肩は消耗品と言われるように長く使うとどこかしらで限界が出てきます。怪物だの、規格外だの言われても大谷も人間です。
今回2回目の手術となることと投手として投げられるのが2年後になると年齢的にも衰えてくるので今までと同じ通りにはいかないことも出てくるかと思います。
それでも、来年打者としてどれだけ打てるのかは機になるところでもある。応援してますので頑張ってください。",
いくら体を鍛えたり、ケア等をしていても膝や肩は消耗品と言われるように長く使うとどこかしらで限界が出てきます。,2,"ひとまず手術が成功したことに安堵しました。いくら体を鍛えたり、ケア等をしていても膝や肩は消耗品と言われるように長く使うとどこかしらで限界が出てきます。怪物だの、規格外だの言われても大谷も人間です。
今回2回目の手術となることと投手として投げられるのが2年後になると年齢的にも衰えてくるので今までと同じ通りにはいかないことも出てくるかと思います。
それでも、来年打者としてどれだけ打てるのかは機になるところでもある。応援してますので頑張ってください。",
怪物だの、規格外だの言われても大谷も人間です。,3,"ひとまず手術が成功したことに安堵しました。いくら体を鍛えたり、ケア等をしていても膝や肩は消耗品と言われるように長く使うとどこかしらで限界が出てきます。怪物だの、規格外だの言われても大谷も人間です。
今回2回目の手術となることと投手として投げられるのが2年後になると年齢的にも衰えてくるので今までと同じ通りにはいかないことも出てくるかと思います。
それでも、来年打者としてどれだけ打てるのかは機になるところでもある。応援してますので頑張ってください。",
今回2回目の手術となることと投手として投げられるのが2年後になると年齢的にも衰えてくるので今までと同じ通りにはいかないことも出てくるかと思います。,4,"ひとまず手術が成功したことに安堵しました。いくら体を鍛えたり、ケア等をしていても膝や肩は消耗品と言われるように長く使うとどこかしらで限界が出てきます。怪物だの、規格外だの言われても大谷も人間です。
今回2回目の手術となることと投手として投げられるのが2年後になると年齢的にも衰えてくるので今までと同じ通りにはいかないことも出てくるかと思います。
それでも、来年打者としてどれだけ打てるのかは機になるところでもある。応援してますので頑張ってください。",
"
それでも、来年打者としてどれだけ打てるのかは機になるところでもある。",5,"ひとまず手術が成功したことに安堵しました。いくら体を鍛えたり、ケア等をしていても膝や肩は消耗品と言われるように長く使うとどこかしらで限界が出てきます。怪物だの、規格外だの言われても大谷も人間です。
今回2回目の手術となることと投手として投げられるのが2年後になると年齢的にも衰えてくるので今までと同じ通りにはいかないことも出てくるかと思います。
それでも、来年打者としてどれだけ打てるのかは機になるところでもある。応援してますので頑張ってください。",
応援してますので頑張ってください。,6,"ひとまず手術が成功したことに安堵しました。いくら体を鍛えたり、ケア等をしていても膝や肩は消耗品と言われるように長く使うとどこかしらで限界が出てきます。怪物だの、規格外だの言われても大谷も人間です。
今回2回目の手術となることと投手として投げられるのが2年後になると年齢的にも衰えてくるので今までと同じ通りにはいかないことも出てくるかと思います。
それでも、来年打者としてどれだけ打てるのかは機になるところでもある。応援してますので頑張ってください。",
ひとまずは手術の成功,1,ひとまずは手術の成功おめでとうございます。肉体を限界までプッシュする大谷選手のプレーは感動的ではありますが、やはり生身の人間。今年のようなプレースタイルを続けるのであれば数年で再び同じ故障に見舞われるのではないかという懸念を拭うことはできません。個人的にはあと十年ぐらいは大リーグで活躍できるようなプレースタイルを確立できると良いのではないかと思います。,
おめでとうございます。,2,ひとまずは手術の成功おめでとうございます。肉体を限界までプッシュする大谷選手のプレーは感動的ではありますが、やはり生身の人間。今年のようなプレースタイルを続けるのであれば数年で再び同じ故障に見舞われるのではないかという懸念を拭うことはできません。個人的にはあと十年ぐらいは大リーグで活躍できるようなプレースタイルを確立できると良いのではないかと思います。,
肉体を限界までプッシュする大谷選手のプレーは感動的ではありますが、やはり生身の人間。,3,ひとまずは手術の成功おめでとうございます。肉体を限界までプッシュする大谷選手のプレーは感動的ではありますが、やはり生身の人間。今年のようなプレースタイルを続けるのであれば数年で再び同じ故障に見舞われるのではないかという懸念を拭うことはできません。個人的にはあと十年ぐらいは大リーグで活躍できるようなプレースタイルを確立できると良いのではないかと思います。,
今年のようなプレースタイルを続けるのであれば数年で再び同じ故障に見舞われるのではないかという懸念を拭うことはできません。,4,ひとまずは手術の成功おめでとうございます。肉体を限界までプッシュする大谷選手のプレーは感動的ではありますが、やはり生身の人間。今年のようなプレースタイルを続けるのであれば数年で再び同じ故障に見舞われるのではないかという懸念を拭うことはできません。個人的にはあと十年ぐらいは大リーグで活躍できるようなプレースタイルを確立できると良いのではないかと思います。,
個人的にはあと十年ぐらいは大リーグで活躍できるようなプレースタイルを確立できると良いのではないかと思います。,5,ひとまずは手術の成功おめでとうございます。肉体を限界までプッシュする大谷選手のプレーは感動的ではありますが、やはり生身の人間。今年のようなプレースタイルを続けるのであれば数年で再び同じ故障に見舞われるのではないかという懸念を拭うことはできません。個人的にはあと十年ぐらいは大リーグで活躍できるようなプレースタイルを確立できると良いのではないかと思います。,
大谷の今回の靭帯損傷手術成功,1,大谷の今回の靭帯損傷手術成功ニュースは投手部門での話題で通常だと、投手の場合それがこれからの選手生命を左右する話題だけど、大谷には打者としてのホームラン王の可能性があるからか選手としては心強いし、ましてやDH限定だと球を投げる事が無いから　来年も打者として活躍できる。打者としての才能は安定的に示してきたからFAなっても　争奪戦必至でしょうね。これも二刀流の恩恵ですよね。これが投手だけなら今のタイミングは最悪、やはり大谷は持ってるものが違い、運も味方してるとしか言いようがない。,
ニュースは投手部門での話題で通常だと、投手の場合それがこれからの選手生命を左右する話題だけど、大谷には打者としてのホームラン王の可能性があるからか選手としては心強いし、ましてやDH限定だと球を投げる事が無いから　来年も打者として活躍できる。,2,大谷の今回の靭帯損傷手術成功ニュースは投手部門での話題で通常だと、投手の場合それがこれからの選手生命を左右する話題だけど、大谷には打者としてのホームラン王の可能性があるからか選手としては心強いし、ましてやDH限定だと球を投げる事が無いから　来年も打者として活躍できる。打者としての才能は安定的に示してきたからFAなっても　争奪戦必至でしょうね。これも二刀流の恩恵ですよね。これが投手だけなら今のタイミングは最悪、やはり大谷は持ってるものが違い、運も味方してるとしか言いようがない。,
打者としての才能は安定的に示してきたからFAなっても　争奪戦必至でしょうね。,3,大谷の今回の靭帯損傷手術成功ニュースは投手部門での話題で通常だと、投手の場合それがこれからの選手生命を左右する話題だけど、大谷には打者としてのホームラン王の可能性があるからか選手としては心強いし、ましてやDH限定だと球を投げる事が無いから　来年も打者として活躍できる。打者としての才能は安定的に示してきたからFAなっても　争奪戦必至でしょうね。これも二刀流の恩恵ですよね。これが投手だけなら今のタイミングは最悪、やはり大谷は持ってるものが違い、運も味方してるとしか言いようがない。,
これも二刀流の恩恵ですよね。,4,大谷の今回の靭帯損傷手術成功ニュースは投手部門での話題で通常だと、投手の場合それがこれからの選手生命を左右する話題だけど、大谷には打者としてのホームラン王の可能性があるからか選手としては心強いし、ましてやDH限定だと球を投げる事が無いから　来年も打者として活躍できる。打者としての才能は安定的に示してきたからFAなっても　争奪戦必至でしょうね。これも二刀流の恩恵ですよね。これが投手だけなら今のタイミングは最悪、やはり大谷は持ってるものが違い、運も味方してるとしか言いようがない。,
これが投手だけなら今のタイミングは最悪、やはり大谷は持ってるものが違い、運も味方してるとしか言いようがない。,5,大谷の今回の靭帯損傷手術成功ニュースは投手部門での話題で通常だと、投手の場合それがこれからの選手生命を左右する話題だけど、大谷には打者としてのホームラン王の可能性があるからか選手としては心強いし、ましてやDH限定だと球を投げる事が無いから　来年も打者として活躍できる。打者としての才能は安定的に示してきたからFAなっても　争奪戦必至でしょうね。これも二刀流の恩恵ですよね。これが投手だけなら今のタイミングは最悪、やはり大谷は持ってるものが違い、運も味方してるとしか言いようがない。,
優秀な人って決断力、行動力がものすごい早いのですね。,1,"優秀な人って決断力、行動力がものすごい早いのですね。比べたらいけないけど、周囲のなかなか決断できないズルズル先延ばしで時間だけ過ぎる人たちとの違いを大きく感じた。

大谷選手は人生や時間は有限だということをよくわかってる人なんだろうな。ビジネスマンになってもすごく優秀なんだろうな。",
比べたらいけないけど、周囲のなかなか決断できない,2,"優秀な人って決断力、行動力がものすごい早いのですね。比べたらいけないけど、周囲のなかなか決断できないズルズル先延ばしで時間だけ過ぎる人たちとの違いを大きく感じた。

大谷選手は人生や時間は有限だということをよくわかってる人なんだろうな。ビジネスマンになってもすごく優秀なんだろうな。",
ズルズル先延ばしで時間だけ過ぎる人たちとの違いを大きく感じた。,3,"優秀な人って決断力、行動力がものすごい早いのですね。比べたらいけないけど、周囲のなかなか決断できないズルズル先延ばしで時間だけ過ぎる人たちとの違いを大きく感じた。

大谷選手は人生や時間は有限だということをよくわかってる人なんだろうな。ビジネスマンになってもすごく優秀なんだろうな。",
"

大谷選手は人生や時間は有限だということをよくわかってる人なんだろうな。",4,"優秀な人って決断力、行動力がものすごい早いのですね。比べたらいけないけど、周囲のなかなか決断できないズルズル先延ばしで時間だけ過ぎる人たちとの違いを大きく感じた。

大谷選手は人生や時間は有限だということをよくわかってる人なんだろうな。ビジネスマンになってもすごく優秀なんだろうな。",
ビジネスマンになってもすごく優秀なんだろうな。,5,"優秀な人って決断力、行動力がものすごい早いのですね。比べたらいけないけど、周囲のなかなか決断できないズルズル先延ばしで時間だけ過ぎる人たちとの違いを大きく感じた。

大谷選手は人生や時間は有限だということをよくわかってる人なんだろうな。ビジネスマンになってもすごく優秀なんだろうな。",
本来投手として休養する日もバッターとして出場を続けた。,1,"本来投手として休養する日もバッターとして出場を続けた。それがやはり負担になっていたんだろうね。じん帯なんてどうかなって初めておかしいと感じる場所なので本人が気づかない間に悲鳴を上げていたんだろう。
また25年二刀流の姿を見たい気持ちはあるが年齢も30を超えるところだしより身体に負担がかかるだろうし、難しいと思う。
これまでのメジャーでの輝かしい実績は色あせるものでもないですし今後はバッターに専念してもいいかもしれない。",
それがやはり負担になっていたんだろうね。,2,"本来投手として休養する日もバッターとして出場を続けた。それがやはり負担になっていたんだろうね。じん帯なんてどうかなって初めておかしいと感じる場所なので本人が気づかない間に悲鳴を上げていたんだろう。
また25年二刀流の姿を見たい気持ちはあるが年齢も30を超えるところだしより身体に負担がかかるだろうし、難しいと思う。
これまでのメジャーでの輝かしい実績は色あせるものでもないですし今後はバッターに専念してもいいかもしれない。",
じん帯なんてどうかなって初めておかしいと感じる場所なので本人が気づかない間に悲鳴を上げていたんだろう。,3,"本来投手として休養する日もバッターとして出場を続けた。それがやはり負担になっていたんだろうね。じん帯なんてどうかなって初めておかしいと感じる場所なので本人が気づかない間に悲鳴を上げていたんだろう。
また25年二刀流の姿を見たい気持ちはあるが年齢も30を超えるところだしより身体に負担がかかるだろうし、難しいと思う。
これまでのメジャーでの輝かしい実績は色あせるものでもないですし今後はバッターに専念してもいいかもしれない。",
"
また25年二刀流の姿を見たい気持ちはあるが年齢も30を超えるところだしより身体に負担がかかるだろうし、難しいと思う。",4,"本来投手として休養する日もバッターとして出場を続けた。それがやはり負担になっていたんだろうね。じん帯なんてどうかなって初めておかしいと感じる場所なので本人が気づかない間に悲鳴を上げていたんだろう。
また25年二刀流の姿を見たい気持ちはあるが年齢も30を超えるところだしより身体に負担がかかるだろうし、難しいと思う。
これまでのメジャーでの輝かしい実績は色あせるものでもないですし今後はバッターに専念してもいいかもしれない。",
これまでのメジャーでの輝かしい実績は色あせるものでもないですし今後はバッターに専念してもいいかもしれない。,5,"本来投手として休養する日もバッターとして出場を続けた。それがやはり負担になっていたんだろうね。じん帯なんてどうかなって初めておかしいと感じる場所なので本人が気づかない間に悲鳴を上げていたんだろう。
また25年二刀流の姿を見たい気持ちはあるが年齢も30を超えるところだしより身体に負担がかかるだろうし、難しいと思う。
これまでのメジャーでの輝かしい実績は色あせるものでもないですし今後はバッターに専念してもいいかもしれない。",
もう手術が無事に成功して何も言う事はありません。,1,もう手術が無事に成功して何も言う事はありません。幾らスーパーマンでもおいそれと回復はしません。大谷さんの事だから何の心配もしていませんが時こそ薬。２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。来年度は打者だけでの出場との発表でした。元気な姿が見られるだけで癒されます。一日も早い回復をお祈りしています。,
幾らスーパーマンでもおいそれと回復はしません。,2,もう手術が無事に成功して何も言う事はありません。幾らスーパーマンでもおいそれと回復はしません。大谷さんの事だから何の心配もしていませんが時こそ薬。２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。来年度は打者だけでの出場との発表でした。元気な姿が見られるだけで癒されます。一日も早い回復をお祈りしています。,
大谷さんの事だから何の心配もしていませんが時こそ薬。,3,もう手術が無事に成功して何も言う事はありません。幾らスーパーマンでもおいそれと回復はしません。大谷さんの事だから何の心配もしていませんが時こそ薬。２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。来年度は打者だけでの出場との発表でした。元気な姿が見られるだけで癒されます。一日も早い回復をお祈りしています。,
２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。,4,もう手術が無事に成功して何も言う事はありません。幾らスーパーマンでもおいそれと回復はしません。大谷さんの事だから何の心配もしていませんが時こそ薬。２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。来年度は打者だけでの出場との発表でした。元気な姿が見られるだけで癒されます。一日も早い回復をお祈りしています。,
来年度は打者だけでの出場との発表でした。,5,もう手術が無事に成功して何も言う事はありません。幾らスーパーマンでもおいそれと回復はしません。大谷さんの事だから何の心配もしていませんが時こそ薬。２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。来年度は打者だけでの出場との発表でした。元気な姿が見られるだけで癒されます。一日も早い回復をお祈りしています。,
元気な姿が見られるだけで癒されます。,6,もう手術が無事に成功して何も言う事はありません。幾らスーパーマンでもおいそれと回復はしません。大谷さんの事だから何の心配もしていませんが時こそ薬。２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。来年度は打者だけでの出場との発表でした。元気な姿が見られるだけで癒されます。一日も早い回復をお祈りしています。,
一日も早い回復をお祈りしています。,7,もう手術が無事に成功して何も言う事はありません。幾らスーパーマンでもおいそれと回復はしません。大谷さんの事だから何の心配もしていませんが時こそ薬。２５年二刀流を目指して治療に、リハビリに専念して欲しいと思います。来年度は打者だけでの出場との発表でした。元気な姿が見られるだけで癒されます。一日も早い回復をお祈りしています。,
手術が成功して本当に良かったです。,1,"手術が成功して本当に良かったです。
一度手術→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？

こんな状況でも二刀流継続の為に早期に手術を決断出来る…
さすが…としか言いようがない。
どんだけ野球が好きなんだろ…
こうなりゃやれるとこまでとことん追求してやって欲しい。",
"
一度手術",2,"手術が成功して本当に良かったです。
一度手術→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？

こんな状況でも二刀流継続の為に早期に手術を決断出来る…
さすが…としか言いようがない。
どんだけ野球が好きなんだろ…
こうなりゃやれるとこまでとことん追求してやって欲しい。",
→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？,3,"手術が成功して本当に良かったです。
一度手術→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？

こんな状況でも二刀流継続の為に早期に手術を決断出来る…
さすが…としか言いようがない。
どんだけ野球が好きなんだろ…
こうなりゃやれるとこまでとことん追求してやって欲しい。",
"

こんな状況でも二刀流継続の為に早期に手術を決断出来る…",4,"手術が成功して本当に良かったです。
一度手術→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？

こんな状況でも二刀流継続の為に早期に手術を決断出来る…
さすが…としか言いようがない。
どんだけ野球が好きなんだろ…
こうなりゃやれるとこまでとことん追求してやって欲しい。",
"
さすが…としか言いようがない。",5,"手術が成功して本当に良かったです。
一度手術→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？

こんな状況でも二刀流継続の為に早期に手術を決断出来る…
さすが…としか言いようがない。
どんだけ野球が好きなんだろ…
こうなりゃやれるとこまでとことん追求してやって欲しい。",
"
どんだけ野球が好きなんだろ…",6,"手術が成功して本当に良かったです。
一度手術→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？

こんな状況でも二刀流継続の為に早期に手術を決断出来る…
さすが…としか言いようがない。
どんだけ野球が好きなんだろ…
こうなりゃやれるとこまでとことん追求してやって欲しい。",
こうなりゃやれるとこまでとことん追求してやって欲しい。,7,"手術が成功して本当に良かったです。
一度手術→過酷なリハビリを経験してたら、今回も手術を決断したとしても今後の二刀流継続は慎重に構えてしまうのが普通じゃないんか？

こんな状況でも二刀流継続の為に早期に手術を決断出来る…
さすが…としか言いようがない。
どんだけ野球が好きなんだろ…
こうなりゃやれるとこまでとことん追求してやって欲しい。",
明らかにオーバーワークでしたが、成功したとのことで良かったです。,1,"明らかにオーバーワークでしたが、成功したとのことで良かったです。
NBAデリック・ローズ選手も最年少MVPでスーパースター入りしていましたが、プレイオフのオーバーワークでじん帯を切ってしまいスターとしてのキャリアが終わってしまいました。（ジャンプシュートに切り替えて、良い選手ではあり続けています）
大谷選手も今期MVPは確実ですが、あと10年15年と二刀流を続けていただくことは、世界を勇気づけるでしょう。誰もやったことのないことなのですから。",
"
NBAデリック・ローズ選手も最年少MVPでスーパースター入りしていましたが、プレイオフのオーバーワークでじん帯を切ってしまいスターとしてのキャリアが終わってしまいました。",2,"明らかにオーバーワークでしたが、成功したとのことで良かったです。
NBAデリック・ローズ選手も最年少MVPでスーパースター入りしていましたが、プレイオフのオーバーワークでじん帯を切ってしまいスターとしてのキャリアが終わってしまいました。（ジャンプシュートに切り替えて、良い選手ではあり続けています）
大谷選手も今期MVPは確実ですが、あと10年15年と二刀流を続けていただくことは、世界を勇気づけるでしょう。誰もやったことのないことなのですから。",
（ジャンプシュートに切り替えて、良い選手ではあり続けています）,3,"明らかにオーバーワークでしたが、成功したとのことで良かったです。
NBAデリック・ローズ選手も最年少MVPでスーパースター入りしていましたが、プレイオフのオーバーワークでじん帯を切ってしまいスターとしてのキャリアが終わってしまいました。（ジャンプシュートに切り替えて、良い選手ではあり続けています）
大谷選手も今期MVPは確実ですが、あと10年15年と二刀流を続けていただくことは、世界を勇気づけるでしょう。誰もやったことのないことなのですから。",
"
大谷選手も今期MVPは確実ですが、あと10年15年と二刀流を続けていただくことは、世界を勇気づけるでしょう。",4,"明らかにオーバーワークでしたが、成功したとのことで良かったです。
NBAデリック・ローズ選手も最年少MVPでスーパースター入りしていましたが、プレイオフのオーバーワークでじん帯を切ってしまいスターとしてのキャリアが終わってしまいました。（ジャンプシュートに切り替えて、良い選手ではあり続けています）
大谷選手も今期MVPは確実ですが、あと10年15年と二刀流を続けていただくことは、世界を勇気づけるでしょう。誰もやったことのないことなのですから。",
誰もやったことのないことなのですから。,5,"明らかにオーバーワークでしたが、成功したとのことで良かったです。
NBAデリック・ローズ選手も最年少MVPでスーパースター入りしていましたが、プレイオフのオーバーワークでじん帯を切ってしまいスターとしてのキャリアが終わってしまいました。（ジャンプシュートに切り替えて、良い選手ではあり続けています）
大谷選手も今期MVPは確実ですが、あと10年15年と二刀流を続けていただくことは、世界を勇気づけるでしょう。誰もやったことのないことなのですから。",
大谷さん,1,大谷さん先ずは右肘の手術成功嬉しく思っています、そしてこの先1日も早く投打のホームランと三振の山を築いて下さい、私は80歳の高齢者ですが、若い頃からいろんなスポーツをやって今も元気でおります私の生きがいそして生活の一部になっているメジャー野球大谷選手が投手で勝って、打撃でホームラン、２塁打３塁打を打ってチームの先導役を長きに渡り見させてもらいまいた昨年も今年も、人試合も欠かさず朝2時であろうが3時であろうが5時スタートであろうが起きて見ておりました、選手の名前も全部覚えております、これが私の生き甲斐なんです、大谷選手が活躍すれば私が元気が倍増します、でも今私の心は落ち込んでおります、貴方の元気な姿を昨日ダックアウトで見て少しホッとしております、来年まで長いです、来年のメジャー野球のスタートがまちどうしいです,
先ずは右肘の手術成功,2,大谷さん先ずは右肘の手術成功嬉しく思っています、そしてこの先1日も早く投打のホームランと三振の山を築いて下さい、私は80歳の高齢者ですが、若い頃からいろんなスポーツをやって今も元気でおります私の生きがいそして生活の一部になっているメジャー野球大谷選手が投手で勝って、打撃でホームラン、２塁打３塁打を打ってチームの先導役を長きに渡り見させてもらいまいた昨年も今年も、人試合も欠かさず朝2時であろうが3時であろうが5時スタートであろうが起きて見ておりました、選手の名前も全部覚えております、これが私の生き甲斐なんです、大谷選手が活躍すれば私が元気が倍増します、でも今私の心は落ち込んでおります、貴方の元気な姿を昨日ダックアウトで見て少しホッとしております、来年まで長いです、来年のメジャー野球のスタートがまちどうしいです,
嬉しく思っています、,3,大谷さん先ずは右肘の手術成功嬉しく思っています、そしてこの先1日も早く投打のホームランと三振の山を築いて下さい、私は80歳の高齢者ですが、若い頃からいろんなスポーツをやって今も元気でおります私の生きがいそして生活の一部になっているメジャー野球大谷選手が投手で勝って、打撃でホームラン、２塁打３塁打を打ってチームの先導役を長きに渡り見させてもらいまいた昨年も今年も、人試合も欠かさず朝2時であろうが3時であろうが5時スタートであろうが起きて見ておりました、選手の名前も全部覚えております、これが私の生き甲斐なんです、大谷選手が活躍すれば私が元気が倍増します、でも今私の心は落ち込んでおります、貴方の元気な姿を昨日ダックアウトで見て少しホッとしております、来年まで長いです、来年のメジャー野球のスタートがまちどうしいです,
そしてこの先,4,大谷さん先ずは右肘の手術成功嬉しく思っています、そしてこの先1日も早く投打のホームランと三振の山を築いて下さい、私は80歳の高齢者ですが、若い頃からいろんなスポーツをやって今も元気でおります私の生きがいそして生活の一部になっているメジャー野球大谷選手が投手で勝って、打撃でホームラン、２塁打３塁打を打ってチームの先導役を長きに渡り見させてもらいまいた昨年も今年も、人試合も欠かさず朝2時であろうが3時であろうが5時スタートであろうが起きて見ておりました、選手の名前も全部覚えております、これが私の生き甲斐なんです、大谷選手が活躍すれば私が元気が倍増します、でも今私の心は落ち込んでおります、貴方の元気な姿を昨日ダックアウトで見て少しホッとしております、来年まで長いです、来年のメジャー野球のスタートがまちどうしいです,
1日も早く投打のホームランと三振の山を築いて下さい、私は80歳の高齢者ですが、若い頃からいろんなスポーツをやって今も元気でおります,5,大谷さん先ずは右肘の手術成功嬉しく思っています、そしてこの先1日も早く投打のホームランと三振の山を築いて下さい、私は80歳の高齢者ですが、若い頃からいろんなスポーツをやって今も元気でおります私の生きがいそして生活の一部になっているメジャー野球大谷選手が投手で勝って、打撃でホームラン、２塁打３塁打を打ってチームの先導役を長きに渡り見させてもらいまいた昨年も今年も、人試合も欠かさず朝2時であろうが3時であろうが5時スタートであろうが起きて見ておりました、選手の名前も全部覚えております、これが私の生き甲斐なんです、大谷選手が活躍すれば私が元気が倍増します、でも今私の心は落ち込んでおります、貴方の元気な姿を昨日ダックアウトで見て少しホッとしております、来年まで長いです、来年のメジャー野球のスタートがまちどうしいです,
私の生きがいそして生活の一部になっているメジャー野球大谷選手が投手で勝って、打撃でホームラン、２塁打３塁打を打ってチームの先導役を長きに渡り見させてもらいまいた昨年も今年も、人試合も欠かさず朝2時であろうが3時であろうが5時スタートであろうが起きて見ておりました、選手の名前も全部覚えております、これが私の生き甲斐なんです、大谷選手が活躍すれば私が元気が倍増します、でも今私の心は落ち込んでおります、貴方の元気な姿を昨日ダックアウトで見て少しホッとしております、来年まで長いです、来年のメジャー野球のスタートがまちどうしいです,6,大谷さん先ずは右肘の手術成功嬉しく思っています、そしてこの先1日も早く投打のホームランと三振の山を築いて下さい、私は80歳の高齢者ですが、若い頃からいろんなスポーツをやって今も元気でおります私の生きがいそして生活の一部になっているメジャー野球大谷選手が投手で勝って、打撃でホームラン、２塁打３塁打を打ってチームの先導役を長きに渡り見させてもらいまいた昨年も今年も、人試合も欠かさず朝2時であろうが3時であろうが5時スタートであろうが起きて見ておりました、選手の名前も全部覚えております、これが私の生き甲斐なんです、大谷選手が活躍すれば私が元気が倍増します、でも今私の心は落ち込んでおります、貴方の元気な姿を昨日ダックアウトで見て少しホッとしております、来年まで長いです、来年のメジャー野球のスタートがまちどうしいです,
来期からは、些細な指先のマメや爪のトラブルも軽視せず、投球間隔を充分に開けてマメや爪を完治させてから復帰して欲しいです。,1,来期からは、些細な指先のマメや爪のトラブルも軽視せず、投球間隔を充分に開けてマメや爪を完治させてから復帰して欲しいです。今回の肘の怪我も指先のマメや爪の問題が発生しているのは明らかですね。大谷翔平一人に頼るチームなら必ず大谷が壊れます。脇腹の怪我も右肘をかばって痛めた可能性があります。,
今回の肘の怪我も指先のマメや爪の問題が発生しているのは明らかですね。,2,来期からは、些細な指先のマメや爪のトラブルも軽視せず、投球間隔を充分に開けてマメや爪を完治させてから復帰して欲しいです。今回の肘の怪我も指先のマメや爪の問題が発生しているのは明らかですね。大谷翔平一人に頼るチームなら必ず大谷が壊れます。脇腹の怪我も右肘をかばって痛めた可能性があります。,
大谷翔平,3,来期からは、些細な指先のマメや爪のトラブルも軽視せず、投球間隔を充分に開けてマメや爪を完治させてから復帰して欲しいです。今回の肘の怪我も指先のマメや爪の問題が発生しているのは明らかですね。大谷翔平一人に頼るチームなら必ず大谷が壊れます。脇腹の怪我も右肘をかばって痛めた可能性があります。,
